Idx,Eps,prop,BSAT_GNN_prox_100,Branches,Time(s)
2013,0.09,0,False,498,32.71981406211853
4025,0.088,8,False,1790,65.64913630485535
5022,0.063,4,timeout,251474,3602.5349848270416
3021,0.09,0,False,170,17.46035599708557
5021,0.172,7,False,1478,27.073962688446045
8008,0.122,8,False,188102,2615.613698720932
1060,0.128,7,False,1374,40.47215151786804
9058,0.082,3,False,10818,150.85635805130005
8001,0.135,8,False,454,14.55785059928894
8037,0.141,8,False,1640,42.724611043930054
6056,0.122,0,timeout,192728,3604.316710472107
105,0.153,8,False,1144,47.29153752326965
3034,0.078,0,False,92,12.52354097366333
26,0.09,7,False,920,44.51322150230408
9024,0.191,3,False,750,23.87135124206543
3005,0.078,2,False,578,38.91727566719055
9060,0.133,1,False,1346,59.14847230911255
1048,0.133,4,False,264,25.909387826919556
2041,0.197,9,False,300,16.623607397079468
0,0.063,2,timeout,268530,3603.089922428131
5000,0.21,8,False,870,18.605393409729004
7011,0.09,4,False,9688,141.46378874778748
2045,0.122,5,False,894,37.50842332839966
5043,0.145,1,False,364,25.36783456802368
7046,0.103,8,False,604,19.124152660369873
8002,0.16,8,False,608,12.431528329849243
2028,0.122,4,False,3448,73.40955924987793
5045,0.108,1,False,590,24.225703239440918
6017,0.069,2,False,6,1.716773271560669
6000,0.103,5,False,4562,122.31764125823975
3030,0.063,0,timeout,232802,3603.1397111415863
1021,0.072,7,False,312,20.76199984550476
4021,0.122,4,False,646,27.24571394920349
19,0.095,3,False,898,52.78100848197937
5020,0.066,9,timeout,218266,3605.024462223053
5010,0.122,8,False,1280,30.263790130615234
9,0.076,9,False,180,20.82228922843933
8052,0.147,2,False,694,26.273800134658813
4059,0.197,3,False,650,33.18554353713989
4057,0.077,5,False,1334,49.09583353996277
8039,0.158,5,False,86,10.219517946243286
8046,0.072,4,False,454,26.461612701416016
8013,0.21,6,False,496,15.019444942474365
3001,0.21,6,False,818,16.211411952972412
6007,0.141,0,False,532,12.991034984588623
4015,0.128,3,False,2164,63.085081815719604
3002,0.191,8,False,680,22.330178022384644
8021,0.122,0,False,6598,117.656418800354
2052,0.122,9,False,34,8.41070294380188
2016,0.084,5,False,666,40.502307653427124
2043,0.141,2,False,606,12.943926334381104
1002,0.072,2,False,14320,315.363587141037
100,0.084,6,False,96,8.723119258880615
1005,0.122,8,False,238,15.930795192718506
7033,0.147,1,False,370,10.61099624633789
1054,0.079,6,False,5166,112.50280261039734
1025,0.104,9,False,72,10.704068660736084
4048,0.095,4,False,2626,76.33270955085754
4041,0.072,6,False,774,58.70048260688782
34,0.172,5,False,260,15.384706974029541
1013,0.178,3,False,284,21.294254541397095
6052,0.172,5,False,1352,35.70852732658386
8049,0.128,9,False,1286,47.82560467720032
8035,0.072,9,False,112,14.474486351013184
7020,0.104,1,False,98,15.723544120788574
6034,0.122,7,False,130,27.34432077407837
4009,0.135,0,False,44,5.139501571655273
7047,0.16,6,False,484,11.142545938491821
2014,0.15,4,False,766,24.2242169380188
25,0.133,5,False,4092,117.63769054412842
2040,0.106,1,False,934,47.27729249000549
104,0.185,6,False,656,17.327286958694458
37,0.191,4,False,576,20.130609035491943
3020,0.133,3,False,794,37.24735426902771
7008,0.106,6,False,2762,89.93619179725647
7031,0.106,9,False,1972,53.904789686203
3017,0.216,4,False,660,15.833509683609009
2024,0.097,9,False,86,8.04627537727356
6019,0.141,7,False,2202,57.84914541244507
1044,0.191,5,False,1390,25.059274196624756
6043,0.063,7,False,3034,79.62123250961304
3042,0.135,0,False,772,18.610081672668457
2009,0.131,8,False,2252,54.25812244415283
6031,0.093,4,False,214,19.02055788040161
1012,0.101,5,False,150,25.400963068008423
6039,0.159,5,False,1096,47.75544476509094
9004,0.083,0,False,58,9.517902374267578
3049,0.147,8,False,592,12.756604433059692
1033,0.097,8,False,188,11.290989637374878
9016,0.061,0,timeout,302142,3604.4321703910828
15,0.096,5,False,228,28.157506465911865
6051,0.084,3,False,1544,58.096466064453125
4,0.097,3,False,20,3.3879456520080566
6025,0.069,5,False,946,34.833922147750854
9018,0.084,7,False,76,8.54025387763977
8056,0.106,6,False,2822,78.4790825843811
6020,0.078,4,False,5776,111.5579047203064
9037,0.135,6,False,384,17.101945400238037
8040,0.108,9,False,100,7.580986499786377
18,0.178,2,False,6318,114.07515740394592
