Idx,Eps,SAT,Branches,Time(s)
0,0.3,False,42,10.934705257415771
1,0.3,False,140,16.863735914230347
2,0.3,False,50,11.11438250541687
3,0.3,False,638,32.13853883743286
4,0.3,False,1016,41.806607723236084
5,0.3,False,18,7.00661826133728
6,0.3,timeout,8300,301.0662455558777
7,0.3,timeout,8828,306.8599202632904
8,0.3,True,0,1.996910810470581
9,0.3,timeout,9198,309.600280046463
10,0.3,False,140,16.354171991348267
11,0.3,timeout,8910,304.0452575683594
12,0.3,False,7466,283.06450390815735
13,0.3,False,3662,131.33921360969543
14,0.3,False,18,7.134353399276733
15,0.3,True,6500,221.91373920440674
16,0.3,False,2304,97.55101132392883
17,0.3,False,448,29.429919004440308
18,0.3,True,0,1.9141762256622314
19,0.3,timeout,9178,309.70912742614746
20,0.3,False,808,42.125765562057495
21,0.3,False,188,15.724433183670044
22,0.3,timeout,8910,304.31688499450684
23,0.3,False,624,33.460652112960815
24,0.3,timeout,9210,309.59659218788147
25,0.3,False,30,8.680220603942871
26,0.3,False,110,14.449888229370117
27,0.3,False,4076,156.2730987071991
28,0.3,False,966,42.97436809539795
29,0.3,False,40,11.159793615341187
30,0.3,timeout,9096,307.584082365036
31,0.3,False,178,20.87600874900818
32,0.3,False,102,16.306837797164917
33,0.3,True,0,1.9045817852020264
34,0.3,False,44,11.290694952011108
35,0.3,False,854,37.79364037513733
36,0.3,False,5666,213.52624559402466
37,0.3,False,16,7.11076807975769
38,0.3,timeout,8812,307.3122272491455
39,0.3,False,10,5.848340034484863
40,0.3,False,12,5.771012783050537
41,0.3,False,1476,61.98780298233032
42,0.3,False,1078,46.37765622138977
43,0.3,True,1034,41.397382497787476
44,0.3,timeout,7616,312.96864461898804
45,0.3,timeout,8910,303.39300775527954
46,0.3,False,18,8.62094259262085
47,0.3,timeout,9162,309.07767057418823
48,0.3,False,92,18.48937726020813
49,0.3,False,418,26.557745218276978
50,0.3,False,2122,82.45612096786499
51,0.3,False,276,23.777523279190063
52,0.3,False,8316,280.8366348743439
53,0.3,timeout,8910,302.584187746048
54,0.3,False,300,20.26599431037903
55,0.3,False,72,13.118650436401367
