PropertyID,NetworkID,VerificationResult,InternalSolveStatus,ObjectiveValue,ObjectiveBound,InputValue,OutputValue,MainSolveTime,TotalTime
1,4_6,Timeout,UserLimit,-3.9593745200201065,877.3449568327927,NaN,NaN,21600.00508093834,21612.825815235
1,4_8,Timeout,UserLimit,-3.946646893166952,1220.7685756008113,NaN,NaN,21600.005463838577,21612.428846701
2,3_3,Timeout,UserLimit,-0.0022053882268469015,28.830608213794807,NaN,NaN,21600.005120038986,21609.913501076
2,4_2,Timeout,UserLimit,-0.0011738511931921047,39.93517602573159,NaN,NaN,21600.0062520504,21611.641589992
2,4_9,SAT,UserObjLimit,0.0001859995160913043,4103.234998303644,"[55947.691, 0.004657363143265919, -0.10803259035861158, 1145.0, 17.92238386728809]","[15.434776400428376, 0.6211709177639309, 15.052465226490147, 0.5596295803379316, 15.365221896265995]",21.875149965286255,37.419799872
2,5_3,SAT,UserObjLimit,8.126080582433054e-5,37.23349407596977,"[60760.0, -0.03977009475671867, -0.268557839579441, 1145.0, 48.143059740455215]","[16.007054723967563, 15.976667252130419, 0.6384417268184093, 15.819150879124933, 1.2897250426459879]",5381.473166942596,5390.410173939
3,3_6,UNSAT,UserObjLimit,-0.043796987146711784,-0.00591345181199223,NaN,NaN,0.3061830997467041,0.642746826
3,5_1,UNSAT,UserObjLimit,-0.043200330130099024,-0.0003469447922726888,NaN,NaN,0.8103859424591064,1.30486123
7,1_9,Timeout,UserLimit,-0.001704807738726631,16.2925605651723,NaN,NaN,21600.004749059677,21620.833237919
9,3_3,Timeout,UserLimit,-0.047582436177117556,2.293283370887334,NaN,NaN,21600.004224061966,21605.402048574
